,id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
id,1,,,,,,,,,,,,,,,,,,,
price,-0.015348697,1,,,,,,,,,,,,,,,,,,
bedrooms,0.002968098,0.302998347,1,,,,,,,,,,,,,,,,,
bathrooms,0.004131962,0.523706267,0.518974697,1,,,,,,,,,,,,,,,,
sqft_living,-0.01164721,0.701491797,0.563959862,0.761184945,1,,,,,,,,,,,,,,,
sqft_lot,-0.13477419,0.088863077,0.029706385,0.09288133,0.171436133,1,,,,,,,,,,,,,,
floors,0.015785504,0.28090269,0.208355305,0.503778759,0.400093986,0.022333463,1,,,,,,,,,,,,,
waterfront,-0.002179373,0.275295688,-0.000120107,0.075441279,0.115717401,0.021800167,0.035147024,1,,,,,,,,,,,,
view,0.012761875,0.403321089,0.08401516,0.202049322,0.294186121,0.069299813,0.05314337,0.401186846,1,,,,,,,,,,,
condition,-0.020641323,0.047492647,0.032531294,-0.093525832,-0.047879871,-0.019924874,-0.220214348,0.011108811,0.038996677,1,,,,,,,,,,
grade,0.006743706,0.662583348,0.357632532,0.659452174,0.767729033,0.120176263,0.463205319,0.089171024,0.261068671,-0.125651318,1,,,,,,,,,
sqft_above,-0.01152879,0.604963032,0.457609784,0.684891853,0.867604301,0.187710207,0.579793525,0.084252735,0.178029223,-0.145523129,0.761664305,1,,,,,,,,
sqft_basement,-0.002734159,0.32487732,0.312698217,0.301539057,0.453788147,0.007956581,-0.235400397,0.08144247,0.271859149,0.164614946,0.17710282,-0.049400371,1,,,,,,,
yr_built,0.021260053,0.036773673,0.162714458,0.484680253,0.324298653,0.082906902,0.416793412,-0.016935019,-0.038770963,-0.315514973,0.433399271,0.424738286,-0.10977393,1,,,,,,
yr_renovated,-0.020168073,0.137103627,0.023340902,0.069776506,0.06804035,0.005654098,0.034917072,0.086466471,0.1031002,-0.073901049,0.027358482,0.039005587,0.066764553,-0.21710497,1,,,,,
zipcode,-0.010724749,-0.042484282,-0.139447434,-0.202739873,-0.179349659,-0.127867876,-0.080677407,0.033756695,0.090165791,-0.001261632,-0.186287649,-0.243199326,0.075588082,-0.385262748,0.064415877,1,,,,
lat,-0.004442297,0.309012967,0.002398584,0.024802462,0.062951551,-0.08514813,0.034105772,-0.014012955,0.004866556,-0.01778991,0.112688895,0.010144914,0.108263234,-0.166478321,0.0320522,0.264581971,1,,,
long,0.011043868,0.011828868,0.1108037,0.221786502,0.217910766,0.229418241,0.163101689,-0.044603058,-0.084820465,-0.106672903,0.202731256,0.327286772,-0.148824323,0.45733015,-0.06908145,-0.561442373,-0.12617413,1,,
sqft_living15,-0.011672611,0.599255818,0.373918347,0.578655834,0.752655009,0.154482517,0.326939726,0.091463493,0.291409401,-0.089569119,0.735202094,0.727733364,0.207631544,0.348327392,0.001329403,-0.260524796,0.068424727,0.308181691,1,
sqft_lot15,-0.144171857,0.078732844,0.026046905,0.093107947,0.183090294,0.701011642,0.018859426,0.030377248,0.066525823,-0.016417319,0.127271127,0.200251561,0.008890127,0.107736825,0.005072792,-0.147364513,-0.088959375,0.260621912,0.193027229,1
